iter	RMSE
232	38228.74785
233	38202.97195
234	38177.58443
235	38140.53951
236	38118.85084
237	38096.10939
238	38078.45073
239	38054.63119
240	38029.02145
241	37999.27971
242	37972.19461
243	37905.38448
244	37872.70582
245	37838.85213
246	37812.51634
247	37791.79389
248	37765.29402
249	37749.52329
250	37708.1428
251	37677.6294
252	37654.95862
253	37613.93811
254	37610.25502
255	37586.96453
256	37574.1358
257	37541.63259
258	37530.55165
259	37481.90062
260	37455.5325
261	37426.04629
262	37408.20235
263	37384.8384
264	37372.63444
265	37321.92345
266	37274.79181
267	37256.98927
268	37229.68117
269	37190.95874
270	37167.66767
271	37147.09611
272	37128.236
273	37106.88961
274	37071.55208
275	37054.24507
276	37024.35823
277	36974.77848
278	36955.43265
279	36942.69729
280	36925.57759
281	36906.10552
282	36880.17474
283	36862.36968
284	36846.086
285	36829.7589
286	36812.09478
287	36770.3727
288	36749.19703
289	36703.9375
290	36685.25543
291	36667.01067
292	36650.59686
293	36631.41094
294	36617.38411
295	36599.19443
296	36579.55669
297	36571.41115
298	36556.92873
299	36541.0652
300	36520.1576
301	36505.29681
302	36485.98721
303	36461.94577
304	36445.1785
305	36432.91675
306	36393.31711
307	36361.77677
308	36324.04055
309	36298.09645
310	36278.527
311	36261.15368
312	36216.89513
313	36202.08421
314	36164.1542
315	36147.72665
316	36133.28197
317	36120.23818
318	36105.29691
319	36089.68267
320	36073.3348
321	36031.96761
322	35987.01518
323	35972.64746
324	35963.00369
325	35943.71243
326	35901.70461
327	35887.99721
328	35844.26033
329	35830.77559
330	35818.18459
331	35799.20205
332	35765.20782
333	35739.07163
334	35708.77263
335	35692.05385
336	35676.69661
337	35640.43982
338	35627.93678
339	35612.51797
340	35604.92358
341	35592.50787
342	35579.22997
343	35562.78996
344	35552.04952
345	35535.04596
346	35514.44516
347	35479.39311
348	35458.47615
349	35434.07592
350	35413.32058
351	35398.37464
352	35378.04722
353	35366.12514
354	35353.50363
355	35340.03652
356	35306.44148
357	35291.67992
358	35279.96706
359	35258.75128
360	35220.68483
361	35201.29907
362	35181.79434
363	35169.62089
364	35153.46795
365	35140.2083
366	35124.71466
367	35114.15735
368	35101.43232
369	35082.66333
370	35042.75941
371	35041.29983
372	35008.42426
373	34997.93692
374	34987.39144
375	34951.64232
376	34939.87737
377	34911.12463
378	34897.67662
379	34885.40113
380	34853.70511
381	34842.83932
382	34834.69493
383	34812.01252
384	34799.54246
385	34788.41394
386	34775.05456
387	34758.46801
388	34721.15396
389	34682.60556
390	34672.33443
391	34658.42436
392	34652.04857
393	34636.3096
394	34605.80649
395	34592.38092
396	34576.81598
397	34559.35342
398	34549.43617
399	34532.49887
400	34522.7538
401	34504.3715
402	34493.71363
403	34483.67349
404	34452.91974
405	34427.67301
406	34415.37964
407	34408.64362
408	34398.03623
409	34388.96113
410	34376.29673
411	34339.83176
412	34331.028
413	34305.56368
414	34287.32838
415	34276.48394
416	34247.3824
417	34229.17681
418	34197.96032
419	34189.93377
420	34175.51521
421	34163.12033
422	34152.42286
423	34143.59357
424	34119.86785
425	34109.50889
426	34094.78211
427	34083.39546
428	34051.10539
429	34044.80902
430	34011.72961
431	34001.5973
432	33994.40754
433	33972.52965
434	33970.97581
435	33955.63863
436	33934.92006
437	33914.56527
438	33907.09877
439	33874.06945
440	33866.2113
441	33837.48894
442	33819.46
443	33794.45653
444	33776.04055
445	33746.33038
446	33737.13622
447	33705.64691
448	33703.99869
449	33684.63947
450	33677.59677
451	33670.54915
452	33662.45953
453	33655.87946
454	33648.70814
455	33639.97001
456	33636.81474
457	33629.79186
458	33612.61431
459	33610.69203
460	33605.11428
461	33584.58961
462	33571.76383
463	33562.55234
464	33542.69877
465	33532.84265
466	33527.35739
467	33514.79642
468	33495.33712
469	33483.3012
470	33457.671
471	33428.3244
472	33424.30755
473	33418.15764
474	33406.16897
475	33393.19508
476	33389.32064
477	33369.67582
478	33361.44913
479	33351.12209
480	33320.53254
481	33316.05284
482	33315.23196
483	33301.48769
484	33295.24792
485	33278.27276
486	33257.69561
487	33250.32497
488	33235.24123
489	33234.10935
490	33227.55566
491	33223.94672
492	33214.62962
493	33190.91039
494	33185.41402
495	33176.22839
496	33172.17234
497	33153.80969
498	33127.88599
499	33111.99857
500	33077.60493
501	33072.79912
502	33057.28171
503	33055.84566
504	33050.06829
505	33042.74689
506	33019.56872
507	33006.31366
508	32994.48265
509	32988.89703
510	32964.32678
511	32951.28143
512	32935.48014
513	32900.20714
514	32893.37865
515	32877.65621
516	32866.60969
517	32856.47362
518	32837.41049
519	32826.26279
520	32816.84079
521	32810.27643
522	32801.48546
523	32791.97046
524	32778.07413
525	32749.03048
526	32738.77354
527	32729.01675
528	32711.39483
529	32706.88699
530	32695.92542
531	32684.86621
532	32682.05488
533	32670.15966
534	32663.78691
535	32644.25863
536	32635.91159
537	32633.45643
538	32627.72015
539	32606.98979
540	32605.94701
541	32593.54018
542	32587.79812
543	32567.04645
544	32561.68533
545	32553.88298
546	32544.86382
547	32543.3108
548	32539.10243
549	32517.85613
550	32517.10515
551	32515.55411
552	32513.17371
553	32504.30498
554	32497.23747
555	32487.38546
556	32481.91001
557	32478.15492
558	32467.20783
559	32458.39651
560	32436.44441
561	32408.52487
562	32400.59368
563	32396.1789
564	32385.0119
565	32382.94232
566	32377.12455
567	32371.84745
568	32350.11199
569	32330.41955
570	32323.66894
571	32303.31103
572	32285.76967
573	32269.07573
574	32262.61189
575	32259.24488
576	32253.62595
577	32239.9915
578	32235.42277
579	32222.03781
580	32199.32102
581	32194.18383
582	32189.53231
583	32178.99307
584	32169.42438
585	32153.66438
586	32150.32424
587	32145.0552
588	32136.71572
589	32122.8728
590	32110.26103
591	32107.86608
592	32101.09239
593	32100.13212
594	32085.71502
595	32084.68429
596	32072.12357
597	32053.58347
598	32035.72763
599	32023.38038
600	32018.1757
601	32010.56667
602	32005.99241
603	31996.77238
604	31988.0951
605	31956.22271
606	31951.1549
607	31939.06598
608	31921.28248
609	31907.58856
610	31900.62983
611	31890.89885
612	31887.58078
613	31879.10439
614	31871.89018
615	31868.34284
616	31857.27393
617	31848.60886
618	31831.36744
619	31814.98915
620	31808.10673
621	31802.33401
622	31795.42848
623	31778.25106
624	31756.5419
625	31756.12369
626	31746.98589
627	31731.24082
628	31720.01302
629	31719.56589
630	31708.86611
631	31691.46899
632	31675.04247
633	31667.50072
634	31661.14118
635	31655.78744
636	31639.14218
637	31635.51546
638	31616.44099
639	31600.59709
640	31599.52281
641	31584.08582
642	31576.58316
643	31573.13102
644	31565.44619
645	31562.02124
646	31551.64218
647	31546.31076
648	31540.84699
649	31537.81498
650	31517.40352
651	31511.44182
652	31498.92791
653	31494.43476
654	31491.83777
655	31481.85046
656	31465.9181
657	31459.8612
658	31448.0026
659	31441.27995
660	31439.19639
661	31429.09065
662	31409.82853
663	31408.36964
664	31402.6066
665	31396.04423
666	31385.68175
667	31381.37325
668	31376.82496
669	31373.36304
670	31358.30034
671	31351.51056
672	31330.65236
673	31325.03099
674	31310.93929
675	31298.78501
676	31293.4007
677	31290.58774
678	31290.09228
679	31287.7014
680	31283.45309
681	31270.69376
682	31261.03982
683	31250.23805
684	31247.83746
685	31238.149
686	31220.8394
687	31206.50084
688	31202.22733
689	31188.59676
690	31178.28968
691	31170.71544
692	31158.86928
693	31152.54603
694	31145.48235
695	31142.58616
696	31138.4173
697	31130.64281
698	31120.87657
699	31114.88473
700	31108.27824
701	31102.60275
702	31089.35754
703	31073.12987
704	31063.73082
705	31057.73242
706	31054.36383
707	31045.23345
708	31041.45657
709	31034.30878
710	31024.94057
711	31008.47417
712	31008.14576
713	31002.17948
714	31001.14258
715	30997.71504
716	30997.343
717	30991.70286
718	30979.6375
719	30970.8487
720	30964.61983
721	30952.2871
722	30945.89198
723	30930.20629
724	30921.79828
725	30916.73648
726	30908.20611
727	30895.48377
728	30882.49736
729	30878.66558
730	30874.99462
731	30865.89409
732	30855.35066
733	30849.85064
734	30843.4582
735	30842.69643
736	30834.29513
737	30831.38943
738	30827.07962
739	30812.28302
740	30810.99517
741	30806.90799
742	30795.21101
743	30786.95897
744	30786.43005
745	30782.31404
746	30774.20898
747	30769.39673
748	30760.39824
749	30758.24741
750	30755.47315
751	30748.04549
752	30744.34661
753	30743.55786
754	30741.35528
755	30740.97611
756	30728.5173
757	30716.62782
758	30710.96511
759	30710.45329
760	30707.79765
761	30705.61416
762	30697.95062
763	30689.91696
764	30678.59427
765	30675.05794
766	30670.62666
767	30670.23672
768	30663.13826
769	30653.87978
770	30646.24808
771	30638.73723
772	30632.07615
773	30627.8829
774	30620.62512
775	30613.55964
776	30605.01817
777	30598.7328
778	30594.93892
779	30590.77649
780	30587.10591
781	30582.93579
782	30580.50343
783	30571.22145
784	30564.94625
785	30561.64463
786	30559.91178
787	30547.72288
788	30545.51479
789	30540.98305
790	30529.73779
791	30527.79155
792	30513.62689
793	30510.71188
794	30508.93399
795	30497.55049
796	30493.45171
797	30487.4817
798	30484.2398
799	30479.60702
800	30473.40636
801	30472.37052
802	30466.8288
803	30464.19479
804	30458.02959
805	30453.60417
806	30442.1293
807	30441.73532
808	30429.61902
809	30428.59996
810	30425.51539
811	30422.85895
812	30411.75723
813	30408.6105
814	30397.83044
815	30390.06469
816	30387.50891
817	30379.22049
818	30372.69525
819	30363.12207
820	30351.73253
821	30350.82587
822	30349.30407
823	30342.79113
824	30340.37376
825	30339.91294
826	30335.39989
827	30327.28174
828	30316.75207
829	30310.66449
830	30310.30412
831	30306.67014
832	30304.44105
833	30299.34951
834	30296.78975
835	30287.867
836	30284.88135
837	30277.9384
838	30272.09193
839	30269.29108
840	30259.54122
841	30249.89093
842	30241.7664
843	30235.11859
844	30226.55608
845	30220.44448
846	30217.72594
847	30213.90976
848	30205.52077
849	30203.23394
850	30197.96152
851	30190.68839
852	30187.90852
853	30183.25621
854	30180.98712
855	30179.98411
856	30176.69071
857	30175.11622
858	30169.08884
859	30165.24207
860	30159.32532
861	30151.51878
862	30148.13639
863	30146.67442
864	30140.34808
865	30134.44222
866	30132.8021
867	30127.43497
868	30125.55109
869	30119.80598
870	30110.18843
871	30092.41927
872	30090.14249
873	30083.13532
874	30071.47927
875	30068.35604
876	30062.94221
877	30053.67624
878	30050.32107
879	30046.60495
880	30039.82472
881	30037.06411
882	30033.72125
883	30028.23251
884	30018.94238
885	30017.26572
886	30002.56299
887	30001.43105
888	29992.31817
889	29990.80871
890	29978.50036
891	29972.82748
892	29970.0279
893	29967.55423
894	29958.67681
895	29949.71762
896	29944.94589
897	29942.54174
898	29934.53827
899	29929.33355
900	29926.82846
901	29924.31393
902	29922.10845
903	29920.46221
904	29914.35496
905	29912.45042
906	29904.05117
907	29902.32072
908	29893.98926
909	29889.9781
910	29884.91762
911	29884.72272
912	29883.26267
913	29874.82743
914	29870.07318
915	29865.11748
916	29855.29586
917	29850.35796
918	29844.53377
919	29842.42838
920	29841.27577
921	29839.40036
922	29835.21803
923	29834.92482
924	29826.08631
925	29824.95314
926	29821.68581
927	29819.15308
928	29816.83491
929	29812.19146
930	29807.2093
931	29804.74373
932	29803.46407
933	29800.22683
934	29795.57888
935	29789.44556
936	29787.27736
937	29780.26674
938	29778.36303
939	29774.72626
940	29772.82451
941	29771.4866
942	29768.75614
943	29760.88242
944	29758.67326
945	29754.86306
946	29751.30836
947	29749.64321
948	29742.0569
949	29740.4168
950	29735.43088
951	29730.70925
952	29727.37565
953	29723.6871
954	29721.68406
955	29720.10024
956	29715.24891
957	29707.54142
958	29701.3375
959	29695.37585
960	29689.50165
961	29687.02701
962	29684.26487
963	29680.47803
964	29680.2574
965	29679.80998
966	29673.94575
967	29669.48882
968	29665.5005
969	29659.6118
970	29655.25624
971	29653.06092
972	29649.10158
973	29647.10267
974	29643.54937
975	29636.72898
976	29633.5715
977	29626.44195
978	29619.19816
979	29612.27289
980	29609.50095
981	29606.76755
982	29604.98827
983	29598.66169
984	29595.33016
985	29591.81869
986	29587.5445
987	29583.18984
988	29580.92859
989	29574.17266
990	29571.83863
991	29568.60393
992	29565.26155
993	29562.51059
994	29556.89201
995	29555.82433
996	29552.14907
997	29550.91355
998	29545.71463
999	29545.32216
